model,seed,fold,roc_auc,pr_auc,recall_opt,fn_opt,thr_opt,accuracy,precision,recall,specificity,f1,f2,fn,fp
Weighted CE,7,0,0.7848148148148147,0.6850672969669467,0.9259259259259259,4,0.1,0.7207792207792207,0.582089552238806,0.7222222222222222,0.72,0.6446280991735537,0.6890459363957597,15,28
Focal,7,0,0.7805555555555556,0.670654532422522,0.9259259259259259,4,0.3,0.7077922077922078,0.5652173913043478,0.7222222222222222,0.7,0.6341463414634146,0.6842105263157895,15,30
Exponential,7,0,0.777037037037037,0.6681277596364941,0.8703703703703703,7,0.15,0.7272727272727273,0.6071428571428571,0.6296296296296297,0.78,0.6181818181818182,0.625,20,22
Standard,7,1,0.892037037037037,0.8243715968352756,0.9259259259259259,4,0.25,0.8181818181818182,0.782608695652174,0.6666666666666666,0.9,0.72,0.6870229007633588,18,10
Weighted CE,7,1,0.8953703703703704,0.8437898696308214,0.9629629629629629,2,0.2,0.8116883116883117,0.7049180327868853,0.7962962962962963,0.82,0.7478260869565218,0.776173285198556,11,18
Focal,7,1,0.8935185185185185,0.8282887839577474,0.9074074074074074,5,0.44999999999999996,0.8051948051948052,0.6764705882352942,0.8518518518518519,0.78,0.7540983606557377,0.8098591549295775,8,22
Exponential,7,1,0.8964814814814814,0.840894658596525,0.9629629629629629,2,0.2,0.8051948051948052,0.7,0.7777777777777778,0.82,0.7368421052631579,0.7608695652173914,12,18
Standard,7,2,0.7651851851851851,0.6171572385461263,0.8888888888888888,6,0.05,0.7402597402597403,0.6842105263157895,0.48148148148148145,0.88,0.5652173913043478,0.5118110236220472,28,12
Weighted CE,7,2,0.7651851851851852,0.6100891518234038,0.8888888888888888,6,0.1,0.6818181818181818,0.5490196078431373,0.5185185185185185,0.77,0.5333333333333333,0.5243445692883895,26,23
Focal,7,2,0.7622222222222222,0.611862676079175,0.9629629629629629,2,0.2,0.7077922077922078,0.5789473684210527,0.6111111111111112,0.76,0.5945945945945946,0.6043956043956044,21,24
Exponential,7,2,0.7587037037037037,0.5941222259729132,0.8703703703703703,7,0.1,0.7142857142857143,0.6,0.5555555555555556,0.8,0.5769230769230769,0.5639097744360902,24,20
Standard,7,3,0.859811320754717,0.7090752231123534,0.9622641509433962,2,0.2,0.7973856209150327,0.6964285714285714,0.7358490566037735,0.83,0.7155963302752294,0.7276119402985075,14,17
Weighted CE,7,3,0.8632075471698113,0.7122325545642113,0.9433962264150944,3,0.35,0.7450980392156863,0.5897435897435898,0.8679245283018868,0.68,0.7022900763358778,0.7931034482758621,7,32
Focal,7,3,0.860943396226415,0.6777581881641588,0.9622641509433962,2,0.44999999999999996,0.7581699346405228,0.6025641025641025,0.8867924528301887,0.69,0.7175572519083969,0.8103448275862069,6,31
Exponential,7,3,0.8630188679245283,0.7274823923109615,0.9622641509433962,2,0.25,0.7647058823529411,0.6197183098591549,0.8301886792452831,0.73,0.7096774193548387,0.7773851590106007,9,27
